Name,Platform,Year_of_Release,Era,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Global_Sales_Calculated,Sales_Region_Dominant,Critic_Score,Critic_Count,User_Score,User_Count,Score_Gap
Grand Theft Auto V,X360,2013,2010s,Action,Take-Two Interactive,Rockstar North,M,9.66,5.14,0.06,1.41,16.27,16.27,NA,97.0,58,8.1,3711,16.0
Grand Theft Auto: Vice City,PS2,2002,2000s,Action,Take-Two Interactive,Rockstar North,M,8.41,5.49,0.47,1.78,16.15,16.15,NA,95.0,62,8.7,730,8.0
Pokemon Ruby/Pokemon Sapphire,GBA,2002,2000s,Role-Playing,Nintendo,Unknown,Unknown,6.06,3.9,5.38,0.5,15.85,15.84,NA,71.0,21,7.5,24,-4.0
Brain Age 2: More Training in Minutes a Day,DS,2005,2000s,Puzzle,Nintendo,Nintendo,E,3.43,5.35,5.32,1.18,15.29,15.28,EU,77.0,37,7.1,19,6.0
Pokemon Black/Pokemon White,DS,2010,2010s,Role-Playing,Nintendo,Unknown,Unknown,5.51,3.17,5.65,0.8,15.14,15.13,JP,71.0,21,7.5,24,-4.0
Gran Turismo 3: A-Spec,PS2,2001,2000s,Racing,Sony Computer Entertainment,Polyphony Digital,E,6.85,5.09,1.87,1.16,14.98,14.97,NA,95.0,54,8.4,314,11.0
Call of Duty: Modern Warfare 3,X360,2011,2010s,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M,9.04,4.24,0.13,1.32,14.73,14.73,NA,88.0,81,3.4,8713,54.0
Pokémon Yellow: Special Pikachu Edition,GB,1998,1990s,Role-Playing,Nintendo,Unknown,Unknown,5.89,5.04,3.12,0.59,14.64,14.64,NA,71.0,21,7.5,24,-4.0
Call of Duty: Black Ops 3,PS4,2015,2010s,Shooter,Activision,Unknown,Unknown,6.03,5.86,0.36,2.38,14.63,14.63,NA,71.0,21,7.5,24,-4.0
Call of Duty: Black Ops,X360,2010,2010s,Shooter,Activision,Treyarch,M,9.7,3.68,0.11,1.13,14.61,14.62,NA,87.0,89,6.3,1454,24.0
Pokemon X/Pokemon Y,3DS,2013,2010s,Role-Playing,Nintendo,Unknown,Unknown,5.28,4.19,4.35,0.78,14.6,14.6,NA,71.0,21,7.5,24,-4.0
Call of Duty: Black Ops II,PS3,2012,2010s,Shooter,Activision,Treyarch,M,4.99,5.73,0.65,2.42,13.79,13.79,EU,83.0,21,5.3,922,30.0
Call of Duty: Black Ops II,X360,2012,2010s,Shooter,Activision,Treyarch,M,8.25,4.24,0.07,1.12,13.67,13.68,NA,83.0,73,4.8,2256,35.0
Call of Duty: Modern Warfare 2,X360,2009,2000s,Shooter,Activision,Infinity Ward,M,8.52,3.59,0.08,1.28,13.47,13.47,NA,94.0,100,6.3,2698,31.0
Call of Duty: Modern Warfare 3,PS3,2011,2010s,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M,5.54,5.73,0.49,1.57,13.32,13.33,EU,88.0,39,3.2,5234,56.0
Grand Theft Auto III,PS2,2001,2000s,Action,Take-Two Interactive,Dma Design,M,6.99,4.51,0.3,1.3,13.1,13.1,NA,97.0,56,8.5,664,12.0
Super Smash Bros. Brawl,Wii,2008,2000s,Fighting,Nintendo,Game Arts,T,6.62,2.55,2.66,1.01,12.84,12.84,NA,93.0,81,8.9,1662,4.0
Mario Kart 7,3DS,2011,2010s,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E,5.03,4.02,2.69,0.91,12.66,12.65,NA,85.0,73,8.2,632,3.0
Call of Duty: Black Ops,PS3,2010,2010s,Shooter,Activision,Treyarch,M,5.99,4.37,0.48,1.79,12.63,12.63,NA,88.0,58,6.4,1094,24.0
Grand Theft Auto V,PS4,2014,2010s,Action,Take-Two Interactive,Rockstar North,M,3.96,6.31,0.38,1.97,12.61,12.62,EU,97.0,66,8.3,2899,14.0
Animal Crossing: Wild World,DS,2005,2000s,Simulation,Nintendo,Nintendo,E,2.5,3.45,5.33,0.86,12.13,12.14,JP,86.0,57,8.7,242,-1.0
Halo 3,X360,2007,2000s,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M,7.97,2.81,0.13,1.21,12.12,12.12,NA,94.0,86,7.8,4100,16.0
Super Mario 64,N64,1996,1990s,Platform,Nintendo,Unknown,Unknown,6.91,2.85,1.91,0.23,11.89,11.9,NA,71.0,21,7.5,24,-4.0
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,2000s,Action,Nintendo,Unknown,Unknown,4.34,2.71,3.96,0.76,11.77,11.77,NA,71.0,21,7.5,24,-4.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,2010s,Role-Playing,Nintendo,Unknown,Unknown,4.35,3.49,3.1,0.74,11.68,11.68,NA,71.0,21,7.5,24,-4.0
Gran Turismo 4,PS2,2004,2000s,Racing,Sony Computer Entertainment,Polyphony Digital,E,3.01,0.01,1.1,7.53,11.66,11.65,Other,89.0,74,8.5,272,4.0
Super Mario Galaxy,Wii,2007,2000s,Platform,Nintendo,Nintendo,E,6.06,3.35,1.2,0.74,11.35,11.35,NA,97.0,73,8.9,2147,8.0
Super Mario Land 2: 6 Golden Coins,GB,1992,1990s,Adventure,Nintendo,Unknown,Unknown,6.16,2.04,2.69,0.29,11.18,11.18,NA,71.0,21,7.5,24,-4.0
Grand Theft Auto IV,X360,2008,2000s,Action,Take-Two Interactive,Rockstar North,M,6.76,3.07,0.14,1.03,11.01,11.0,NA,98.0,86,7.9,2951,19.0
Gran Turismo,PS,1997,1990s,Racing,Sony Computer Entertainment,Polyphony Digital,E,4.02,3.87,2.54,0.52,10.95,10.95,NA,96.0,16,8.7,138,9.0
Super Mario 3D Land,3DS,2011,2010s,Platform,Nintendo,Nintendo,E,4.89,3.0,2.14,0.78,10.81,10.81,NA,90.0,82,8.4,921,6.0
Gran Turismo 5,PS3,2010,2010s,Racing,Sony Computer Entertainment,Polyphony Digital,E,2.96,4.82,0.81,2.11,10.7,10.7,EU,84.0,82,7.5,1112,9.0
Call of Duty: Modern Warfare 2,PS3,2009,2000s,Shooter,Activision,Infinity Ward,M,4.99,3.64,0.38,1.6,10.6,10.61,NA,94.0,67,6.3,2073,31.0
Super Mario All-Stars,SNES,1993,1990s,Platform,Nintendo,Unknown,Unknown,5.99,2.15,2.12,0.29,10.55,10.55,NA,71.0,21,7.5,24,-4.0
Grand Theft Auto IV,PS3,2008,2000s,Action,Take-Two Interactive,Rockstar North,M,4.76,3.69,0.44,1.61,10.5,10.5,NA,98.0,64,7.5,2833,23.0
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,2000s,Role-Playing,Nintendo,Unknown,Unknown,4.34,2.65,3.15,0.35,10.49,10.49,NA,71.0,21,7.5,24,-4.0
Super Mario 64,DS,2004,2000s,Platform,Nintendo,Unknown,Unknown,5.01,3.07,1.25,0.97,10.3,10.3,NA,71.0,21,7.5,24,-4.0
Call of Duty: Ghosts,X360,2013,2010s,Shooter,Activision,Infinity Ward,M,6.73,2.56,0.04,0.91,10.25,10.24,NA,73.0,29,2.6,2117,47.0
Just Dance 3,Wii,2011,2010s,Misc,Ubisoft,Ubisoft,E10+,5.95,3.11,0.0,1.06,10.12,10.12,NA,74.0,15,7.8,16,-4.0
New Super Mario Bros. 2,3DS,2012,2010s,Platform,Nintendo,Nintendo,E,3.66,3.14,2.47,0.63,9.9,9.9,NA,78.0,70,7.2,424,6.0
Mario Kart 64,N64,1996,1990s,Racing,Nintendo,Unknown,Unknown,5.55,1.94,2.23,0.15,9.87,9.87,NA,71.0,21,7.5,24,-4.0
Halo: Reach,X360,2010,2010s,Shooter,Microsoft Game Studios,Bungie,M,7.04,1.95,0.08,0.79,9.86,9.86,NA,91.0,99,7.9,2045,12.0
Final Fantasy VII,PS,1997,1990s,Role-Playing,Sony Computer Entertainment,Squaresoft,T,3.01,2.47,3.28,0.96,9.72,9.72,JP,92.0,20,9.2,1282,0.0
Halo 4,X360,2012,2010s,Shooter,Microsoft Game Studios,343 Industries,M,6.65,2.28,0.04,0.74,9.71,9.71,NA,87.0,87,7.0,3260,17.0
Gran Turismo 2,PS,1999,1990s,Racing,Sony Computer Entertainment,Polyphony Digital,T,3.88,3.42,1.69,0.5,9.49,9.49,NA,93.0,23,9.0,135,3.0
Just Dance 2,Wii,2010,2010s,Misc,Ubisoft,Ubisoft,E10+,5.8,2.85,0.01,0.78,9.44,9.44,NA,74.0,24,7.3,24,1.0
Call of Duty: Ghosts,PS3,2013,2010s,Shooter,Activision,Infinity Ward,M,4.1,3.63,0.38,1.25,9.36,9.36,NA,71.0,10,2.6,1047,45.0
Call of Duty 4: Modern Warfare,X360,2007,2000s,Shooter,Activision,Infinity Ward,M,5.93,2.36,0.13,0.9,9.31,9.32,NA,94.0,70,8.4,1320,10.0
Donkey Kong Country,SNES,1994,1990s,Platform,Nintendo,Unknown,Unknown,4.36,1.71,3.0,0.23,9.3,9.3,NA,71.0,21,7.5,24,-4.0
Minecraft,X360,2013,2010s,Misc,Microsoft Game Studios,Unknown,Unknown,5.7,2.65,0.02,0.81,9.18,9.18,NA,71.0,21,7.5,24,-4.0
Animal Crossing: New Leaf,3DS,2012,2010s,Simulation,Nintendo,Nintendo,E,2.03,2.36,4.39,0.39,9.16,9.17,JP,88.0,70,8.7,626,1.0
Mario Party DS,DS,2007,2000s,Misc,Nintendo,Hudson Soft,E,4.4,1.85,1.98,0.68,8.91,8.91,NA,72.0,27,7.8,85,-6.0
The Elder Scrolls V: Skyrim,X360,2011,2010s,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,5.05,2.79,0.1,0.85,8.79,8.79,NA,96.0,89,8.4,3589,12.0
Super Mario Kart,SNES,1992,1990s,Racing,Nintendo,Unknown,Unknown,3.54,1.24,3.81,0.18,8.76,8.77,JP,71.0,21,7.5,24,-4.0
FIFA 16,PS4,2015,2010s,Sports,Electronic Arts,Ea Sports,E,1.12,6.12,0.06,1.28,8.57,8.58,EU,82.0,42,4.3,896,39.0
Halo 2,XB,2004,2000s,Shooter,Microsoft Game Studios,Bungie Software,M,6.82,1.53,0.05,0.08,8.49,8.48,NA,95.0,91,8.2,1218,13.0
Wii Party,Wii,2010,2010s,Misc,Nintendo,Nd Cube,E,1.75,3.47,2.49,0.67,8.38,8.38,EU,68.0,42,7.4,54,-6.0
Mario Party 8,Wii,2007,2000s,Misc,Nintendo,Hudson,E,3.74,2.24,1.58,0.7,8.27,8.26,NA,62.0,41,6.3,190,-1.0
FIFA Soccer 13,PS3,2012,2010s,Action,Electronic Arts,Electronic Arts,E,1.06,5.01,0.13,1.97,8.16,8.17,EU,88.0,37,6.6,348,22.0
GoldenEye 007,N64,1997,1990s,Shooter,Nintendo,Unknown,Unknown,5.8,2.01,0.13,0.15,8.09,8.09,NA,71.0,21,7.5,24,-4.0
Pokemon Black 2/Pokemon White 2,DS,2012,2010s,Role-Playing,Nintendo,Unknown,Unknown,2.79,1.72,3.14,0.41,8.07,8.06,JP,71.0,21,7.5,24,-4.0
Final Fantasy X,PS2,2001,2000s,Role-Playing,Sony Computer Entertainment,Squaresoft,T,2.91,2.07,2.73,0.33,8.05,8.04,NA,92.0,53,8.7,1056,5.0
The Sims 3,PC,2009,2000s,Simulation,Electronic Arts,The Sims Studio,T,0.99,6.42,0.0,0.6,8.01,8.01,EU,86.0,75,7.6,886,10.0
Mario & Sonic at the Olympic Games,Wii,2007,2000s,Sports,Sega,Unknown,Unknown,2.57,3.86,0.66,0.91,7.99,8.0,EU,71.0,21,7.5,24,-4.0
Star Wars Battlefront (2015),PS4,2015,2010s,Shooter,Electronic Arts,Unknown,Unknown,2.99,3.49,0.22,1.28,7.98,7.98,EU,71.0,21,7.5,24,-4.0
Final Fantasy VIII,PS,1999,1990s,Role-Playing,Squaresoft,Squaresoft,T,2.28,1.72,3.63,0.23,7.86,7.86,JP,90.0,24,8.6,644,4.0
Pac-Man,2600,1982,1980s,Puzzle,Atari,Unknown,Unknown,7.28,0.45,0.0,0.08,7.81,7.81,NA,71.0,21,7.5,24,-4.0
Pokémon Platinum Version,DS,2008,2000s,Role-Playing,Nintendo,Game Freak,E,2.76,1.72,2.69,0.54,7.72,7.71,NA,83.0,46,8.5,203,-2.0
Grand Theft Auto: Liberty City Stories,PSP,2005,2000s,Action,Take-Two Interactive,Rockstar Leeds,M,2.9,2.81,0.24,1.73,7.69,7.68,NA,88.0,65,7.6,451,12.0
Call of Duty: Advanced Warfare,PS4,2014,2010s,Shooter,Activision,Sledgehammer Games,M,2.81,3.48,0.14,1.23,7.66,7.66,EU,83.0,39,5.7,1443,26.0
The Legend of Zelda: Ocarina of Time,N64,1998,1990s,Action,Nintendo,Unknown,Unknown,4.1,1.89,1.45,0.16,7.6,7.6,NA,71.0,21,7.5,24,-4.0
FIFA 17,PS4,2016,2010s,Sports,Electronic Arts,"Ea Sports, Ea Vancouver",E,0.66,5.75,0.08,1.11,7.59,7.6,EU,85.0,41,5.0,398,35.0
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,1990s,Platform,Sony Computer Entertainment,Unknown,Unknown,3.78,2.17,1.31,0.31,7.58,7.57,NA,71.0,21,7.5,24,-4.0
Super Smash Bros. for Wii U and 3DS,3DS,2014,2010s,Fighting,Nintendo,Unknown,Unknown,3.27,1.37,2.43,0.48,7.55,7.55,NA,71.0,21,7.5,24,-4.0
Super Mario Galaxy 2,Wii,2010,2010s,Platform,Nintendo,Nintendo Ead Tokyo,E,3.56,2.35,0.98,0.62,7.51,7.51,NA,97.0,87,9.1,1854,6.0
Super Mario Bros. 2,NES,1988,1980s,Platform,Nintendo,Unknown,Unknown,5.39,1.18,0.7,0.19,7.46,7.46,NA,71.0,21,7.5,24,-4.0
Call of Duty: Black Ops 3,XOne,2015,2010s,Shooter,Activision,Unknown,Unknown,4.59,2.11,0.01,0.68,7.39,7.39,NA,71.0,21,7.5,24,-4.0
Call of Duty: World at War,X360,2008,2000s,Shooter,Activision,Treyarch,M,4.81,1.88,0.0,0.69,7.38,7.38,NA,84.0,84,7.6,580,8.0
Battlefield 3,X360,2011,2010s,Shooter,Electronic Arts,Ea Dice,M,4.46,2.11,0.06,0.69,7.32,7.32,NA,84.0,57,7.4,2142,10.0
Need for Speed Underground,PS2,2003,2000s,Racing,Electronic Arts,Ea Black Box,E,3.27,2.83,0.08,1.02,7.2,7.2,NA,85.0,33,8.6,171,-1.0
Just Dance,Wii,2009,2000s,Misc,Ubisoft,Ubisoft Paris,E10+,3.48,2.99,0.0,0.73,7.2,7.2,NA,49.0,21,8.0,110,-31.0
Battlefield 3,PS3,2011,2010s,Shooter,Electronic Arts,Ea Dice,M,2.85,2.89,0.35,1.08,7.17,7.17,EU,85.0,38,7.5,1761,10.0
Fallout 4,PS4,2015,2010s,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,2.53,3.27,0.24,1.13,7.16,7.17,EU,87.0,58,6.5,4228,22.0
Tekken 3,PS,1998,1990s,Fighting,Sony Computer Entertainment,Namco,T,3.27,2.22,1.4,0.29,7.16,7.18,NA,96.0,15,9.1,367,5.0
The Legend of Zelda: Twilight Princess,Wii,2006,2000s,Action,Nintendo,Nintendo,T,3.74,2.14,0.6,0.68,7.15,7.16,NA,95.0,73,9.0,1658,5.0
Pokemon Sun/Moon,3DS,2016,2010s,Role-Playing,Nintendo,Unknown,Unknown,2.98,1.45,2.26,0.45,7.14,7.14,NA,71.0,21,7.5,24,-4.0
Crash Bandicoot 3: Warped,PS,1998,1990s,Platform,Sony Computer Entertainment,Naughty Dog,E,3.68,1.75,1.42,0.28,7.13,7.13,NA,91.0,12,8.9,432,2.0
Mario Kart 8,WiiU,2014,2010s,Racing,Nintendo,Nintendo,E,3.15,2.15,1.28,0.51,7.09,7.09,NA,88.0,82,9.1,1599,-3.0
Super Smash Bros. Melee,GC,2001,2000s,Fighting,Nintendo,Hal Labs,T,4.41,1.04,1.39,0.22,7.07,7.06,NA,92.0,38,9.1,568,1.0
Mario Kart: Double Dash!!,GC,2003,2000s,Racing,Nintendo,Unknown,Unknown,4.12,1.77,0.87,0.19,6.95,6.95,NA,71.0,21,7.5,24,-4.0
Need for Speed Underground 2,PS2,2004,2000s,Racing,Electronic Arts,Ea Canada,E,2.71,3.02,0.08,1.09,6.9,6.9,EU,82.0,39,8.6,132,-4.0
Medal of Honor: Frontline,PS2,2002,2000s,Shooter,Electronic Arts,Ea La,T,2.93,2.75,0.17,0.99,6.83,6.84,NA,88.0,29,8.5,135,3.0
Crash Bandicoot,PS,1996,1990s,Platform,Sony Computer Entertainment,Unknown,Unknown,3.23,2.35,0.94,0.3,6.82,6.82,NA,71.0,21,7.5,24,-4.0
Just Dance 4,Wii,2012,2010s,Misc,Ubisoft,Ubisoft,E10+,4.05,2.16,0.0,0.55,6.76,6.76,NA,74.0,10,7.3,28,1.0
Gears of War 2,X360,2008,2000s,Shooter,Microsoft Game Studios,Epic Games,M,4.15,1.9,0.06,0.64,6.75,6.75,NA,93.0,90,7.7,2739,16.0
Uncharted 3: Drake's Deception,PS3,2011,2010s,Action,Sony Computer Entertainment,Naughty Dog,T,2.77,2.75,0.19,1.03,6.74,6.74,NA,92.0,97,8.3,3712,9.0
Zumba Fitness,Wii,2010,2010s,Sports,505 Games,"Pipeworks Software, Inc.",E,3.45,2.59,0.0,0.66,6.71,6.7,NA,71.0,21,7.5,24,-4.0
Call of Duty 4: Modern Warfare,PS3,2007,2000s,Shooter,Activision,Infinity Ward,M,3.11,2.26,0.28,1.03,6.68,6.68,NA,94.0,44,8.4,993,10.0
Uncharted 2: Among Thieves,PS3,2009,2000s,Action,Sony Computer Entertainment,Naughty Dog,T,3.27,2.2,0.21,0.98,6.66,6.66,NA,96.0,105,8.8,5187,8.0
FIFA 12,PS3,2011,2010s,Sports,Electronic Arts,Unknown,Unknown,0.84,4.3,0.11,1.39,6.65,6.64,EU,71.0,21,7.5,24,-4.0
Big Brain Academy,DS,2005,2000s,Misc,Nintendo,Nintendo,E,1.66,2.75,1.6,0.62,6.62,6.63,EU,74.0,45,7.4,27,0.0
The Legend of Zelda,NES,1986,1980s,Action,Nintendo,Unknown,Unknown,3.74,0.93,1.69,0.14,6.51,6.5,NA,71.0,21,7.5,24,-4.0
Red Dead Redemption,PS3,2010,2010s,Action,Take-Two Interactive,Rockstar San Diego,M,2.79,2.53,0.17,0.99,6.49,6.48,NA,95.0,73,8.8,2456,7.0
FIFA 14,PS3,2013,2010s,Sports,Electronic Arts,Ea Canada,E,0.78,4.24,0.07,1.37,6.47,6.46,EU,86.0,37,4.3,576,43.0
Assassin's Creed III,PS3,2012,2010s,Action,Ubisoft,Ubisoft,M,2.64,2.52,0.16,1.12,6.45,6.44,NA,85.0,41,6.9,1307,16.0
Donkey Kong Country Returns,Wii,2010,2010s,Platform,Nintendo,Retro Studios,E,3.17,1.79,1.03,0.46,6.44,6.45,NA,87.0,77,8.6,368,1.0
Halo: Combat Evolved,XB,2001,2000s,Shooter,Microsoft Game Studios,Bungie Software,M,4.98,1.3,0.08,0.07,6.43,6.43,NA,97.0,68,8.6,1283,11.0
The Elder Scrolls V: Skyrim,PS3,2011,2010s,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M,2.55,2.6,0.25,1.0,6.41,6.4,EU,92.0,16,6.4,2527,28.0
Pokémon Emerald Version,GBA,2004,2000s,Role-Playing,Nintendo,Game Freak,E,2.57,1.58,2.06,0.21,6.41,6.42,NA,76.0,28,9.0,222,-14.0
Kingdom Hearts,PS2,2002,2000s,Role-Playing,Sony Computer Entertainment,Squaresoft,E,3.64,1.2,1.49,0.07,6.4,6.4,NA,85.0,46,8.8,597,-3.0
Pokémon Crystal Version,GB,2000,2000s,Role-Playing,Nintendo,Unknown,Unknown,2.55,1.56,1.29,0.99,6.39,6.39,NA,71.0,21,7.5,24,-4.0
Halo 3: ODST,X360,2009,2000s,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M,4.34,1.34,0.06,0.61,6.34,6.35,NA,83.0,94,7.1,1163,12.0
Red Dead Redemption,X360,2010,2010s,Action,Take-Two Interactive,Rockstar San Diego,M,3.7,1.95,0.09,0.58,6.32,6.32,NA,95.0,96,9.0,2316,5.0
Super Mario Sunshine,GC,2002,2000s,Platform,Nintendo,Nintendo,E,4.01,1.26,0.87,0.17,6.31,6.31,NA,92.0,61,8.6,439,6.0
Street Fighter II: The World Warrior,SNES,1992,1990s,Fighting,Capcom,Unknown,Unknown,2.47,0.83,2.87,0.12,6.3,6.29,JP,71.0,21,7.5,24,-4.0
World of Warcraft,PC,2004,2000s,Role-Playing,Activision,Blizzard Entertainment,T,0.08,6.21,0.0,0.0,6.29,6.29,EU,93.0,57,7.3,2182,20.0
Driver,PS,1999,1990s,Action,Gt Interactive,Reflections Interactive,T,3.11,2.8,0.02,0.33,6.27,6.26,NA,87.0,22,8.1,78,6.0
Gears of War 3,X360,2011,2010s,Shooter,Microsoft Game Studios,Epic Games,M,4.05,1.59,0.07,0.5,6.21,6.21,NA,91.0,96,7.8,1504,13.0
Kinect Sports,X360,2010,2010s,Sports,Microsoft Game Studios,Rare Ltd.,E10+,3.92,1.73,0.03,0.51,6.19,6.19,NA,73.0,51,7.4,95,-1.0
Gears of War,X360,2006,2000s,Shooter,Microsoft Game Studios,Epic Games,M,3.54,1.88,0.07,0.6,6.09,6.09,NA,94.0,88,8.3,2295,11.0
FIFA 15,PS4,2014,2010s,Sports,Electronic Arts,Ea Sports,E,0.8,4.33,0.05,0.9,6.08,6.08,EU,82.0,47,5.7,988,25.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001,2000s,Action,Konami Digital Entertainment,Kcej,M,2.45,2.01,0.87,0.72,6.05,6.05,NA,96.0,42,8.7,1026,9.0
Sonic the Hedgehog 2,GEN,1992,1990s,Platform,Sega,Unknown,Unknown,4.47,1.2,0.16,0.19,6.03,6.02,NA,71.0,21,7.5,24,-4.0
Metal Gear Solid,PS,1998,1990s,Action,Konami Digital Entertainment,Kcej,M,3.18,1.83,0.78,0.24,6.03,6.03,NA,94.0,20,9.4,918,0.0
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,2000s,Action,Konami Digital Entertainment,Kojima Productions,M,2.63,1.71,0.83,0.82,5.99,5.99,NA,94.0,82,8.7,3558,7.0
Final Fantasy XII,PS2,2006,2000s,Role-Playing,Square Enix,Square Enix,T,1.88,0.0,2.33,1.74,5.95,5.95,JP,92.0,64,7.6,972,16.0
The Last of Us,PS3,2013,2010s,Action,Sony Computer Entertainment Europe,Naughty Dog,M,2.41,2.18,0.28,0.99,5.87,5.86,NA,95.0,98,9.1,8003,4.0
LittleBigPlanet,PS3,2008,2000s,Platform,Sony Computer Entertainment,"Sce/Wws, Media Molecule",E,2.8,1.98,0.17,0.87,5.82,5.82,NA,95.0,85,6.8,5311,27.0
Resident Evil 2,PS,1998,1990s,Action,Virgin Interactive,Capcom,M,1.88,1.47,2.02,0.45,5.82,5.82,JP,89.0,13,9.2,364,-3.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,2000s,Role-Playing,Nintendo,Level 5,E10+,0.63,0.67,4.35,0.15,5.78,5.8,JP,87.0,65,8.8,197,-1.0
Tekken 2,PS,1996,1990s,Fighting,Sony Computer Entertainment,Namco,T,2.26,1.89,1.36,0.23,5.74,5.74,NA,89.0,8,8.9,102,0.0
Destiny,PS4,2014,2010s,Shooter,Activision,"Bungie Software, Bungie",T,2.49,2.07,0.16,0.92,5.64,5.64,NA,76.0,95,6.1,5380,15.0
